Age,Status,Education,Years,Profession,Capitalgains,Capitalloss,Native,Zodiak
0,STATUS,EDUCATION,0,PROFESSION,0,0,NATIVE,ZODIAK
50,Private,HS-grad,9,Other-service,0,0,United-States,Taurus
43,Private,Some-college,10,Adm-clerical,0,0,United-States,Virgo
35,Private,Some-college,10,Craft-repair,0,0,United-States,Libra
48,Local-gov,Assoc-acdm,12,Protective-serv,0,11445,United-States,Libra
29,Private,Some-college,10,Adm-clerical,0,0,United-States,Gemini
48,Private,HS-grad,9,Other-service,0,0,United-States,Scorpio
61,?,HS-grad,9,?,3103,0,United-States,Taurus
71,?,HS-grad,9,?,0,0,United-States,Leo
41,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
43,Private,HS-grad,9,Sales,0,0,United-States,Taurus
45,Private,HS-grad,9,Adm-clerical,0,0,United-States,Sagittarius
47,Private,Masters,14,Exec-managerial,99999,12365,United-States,Virgo
37,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
21,Private,Assoc-acdm,12,Other-service,0,0,United-States,Taurus
41,Private,Bachelors,13,Sales,15024,0,United-States,Scorpio
38,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
27,Private,HS-grad,9,Craft-repair,0,0,United-States,Pisces
21,?,Some-college,10,?,2105,0,United-States,Sagittarius
38,Private,7th-8th,4,Farming-fishing,3942,0,Portugal,Sagittarius
31,Private,Some-college,10,Protective-serv,0,0,United-States,Sagittarius
37,Private,Some-college,10,Exec-managerial,0,0,United-States,Aquarius
61,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
23,Private,Bachelors,13,Adm-clerical,0,0,United-States,Cancer
45,Private,HS-grad,9,Transport-moving,4064,0,United-States,Virgo
24,Private,Bachelors,13,Prof-specialty,0,0,United-States,Gemini
63,Private,Some-college,10,Craft-repair,10566,0,United-States,Capricorn
39,Private,HS-grad,9,Adm-clerical,222187,0,United-States,Taurus
43,?,HS-grad,9,?,0,0,United-States,Capricorn
44,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Taurus
25,Private,Assoc-voc,11,Prof-specialty,7688,0,United-States,Libra
