artistId,artistAlias
478672,Aftershock
295656,"Udiyana Bandha"
239957,"Far Beyond"
301867,"Fear of Music"
855877,2:54
8557,Terrorizer
16171,"Charles Weedon Westover"
16171,"Shannon, Del"
16171,"Del Shannon"
884511,Stillborn
132289,"Ryan Farish"
124466,"La Internacional Sonora Santanera"
124466,"La Sonora Santanera"
329174,"DJ Squeeky"
136294,"Colour Haze"
1167861,Veils
902446,Proletar
163615,"Giulio Romolo Caccini"
163615,"Giulio Romano"
163615,"Džulio Kačīni"
163615,"Giulio Caccini"
509074,Runaway
66836,Dynamo
413229,Lolita
47373,"Dying Fetus"
977,"Lorenna McKennitt"
977,"Lorena Mckennitt"
977,"Loreena McKennitt (from the movie ""The Mists of Avalon"")"
977,"Loreena McKennit"
977,"Loreena Mc Kennitt"
977,"Loreena Isabel Irene McKennitt"
977,"Loreena McKennitt"
45503,"Assorted Jelly Beans"
403566,"David Glass"
282148,"The True Believers"
15947,"Edward Bear"
147492,"Louis Bertignac"
2327,"J. S. Bahs"
2327,"Johann Sebastian Bach"
2327,"Иоганн Себастьян Бах"
2327,"Johann Sebastian Bach"
2327,バッハ
2327,Bach
2327,"JS Bach"
2327,"J S Bach"
2327,"Johann Savastian Bach"
2327,"Johann Sebastuan Bach"
2327,"Johann-sebastian Bach"
2327,"J.S. Bach"
2327,"J.S Bach"
2327,"J. S. Bach"
2327,"Jean-Sébastien Bach"
2327,"Jan Sebastian Bach"
2327,"Johan Sebastian Bach"
2327,J.S.Bach
2327,바흐
2327,"Johann S. Bach"
2327,J.S.Bash
2327,"Johann Sebstian Bach"
2327,"J.S. バッハ"
2327,"Bach (1685-1750)"
2327,"Себастьян Бах"
2327,"J. S. Bacj"
2327,"Johann Sabastian Bach"
2327,"Johann Sebastion Bach"
2327,"Johann Sebasitan Bach"
2327,"Johann Sebastian Bach"
2327,"Jean-Sébastien Bach"
2327,"Johann Sebastian Bach (1685-1750)"
2327,ヨハン・ゼバスティアン・バッハ
2327,"يوهان سباستيان باخ"
2327,"Johann Sebastian Bach"
135533,Kagrra
135533,"Kagrra,"
878190,"Maria Orieta"
867246,"Timeless Truth"
22155,"Dr. Hook and The Medicine Show"
22155,"Dr Hook"
22155,"Dr. Hook and the Medicine Show"
22155,"Doctor Hook & The Medicine Show"
22155,"Dr Hook & The Medicine Show"
22155,"Dr. Hook & the Medicine Show"
22155,"Dr Hook and the Medicine Show"
22155,"Doctor Hook And The Medicine Show"
22155,"Dr. Hook & The Medicins Show"
22155,"Dr. Hook"
1939,Banarama
1939,Bannanarama
1939,Bananarama
406489,"Leon Bollier"
406489,"Leon Bolier"
21965,"Darrell Mansfield and Glenn Kaiser"
21965,"Glenn Kaiser and Darrell Mansfield"
21965,Kaiser/Mansfield
933783,"The Once"
30826,"Aphrodite's Child"
1374,Slipknot
530662,Eidyllion
192469,"He Is Legend"
388040,Vulpecula
255564,Hellveto
239733,"Order of Nine"
941104,"Abysmal Chaos"
