artistId,artistName,artistPopularityAll,artistPopularityRecent
478672,Aftershock,43048,753
295656,"Udiyana Bandha",2987,118
239957,"Far Beyond",3523,55
301867,"Fear of Music",7670,85
855877,2:54,50684,3152
8557,Terrorizer,36590,790
16171,"Del Shannon",108644,1336
884511,Stillborn,360,5
132289,"Ryan Farish",56485,914
124466,"La Sonora Santanera",189940,3476
329174,"DJ Squeeky",4919,99
136294,"Colour Haze",25292,789
1167861,Veils,20574,725
902446,Proletar,593,16
163615,"Giulio Caccini",41282,650
509074,Runaway,5388,134
66836,Dynamo,11667,178
413229,Lolita,103028,1422
47373,"Dying Fetus",207795,3230
977,"Loreena McKennitt",302527,4917
45503,"Assorted Jelly Beans",8756,124
403566,"David Glass",963,40
282148,"The True Believers",2099,37
15947,"Edward Bear",51803,692
147492,"Louis Bertignac",106924,1358
2327,"Johann Sebastian Bach",62146,930
135533,"Kagrra,",9209,165
878190,"Maria Orieta",408,10
867246,"Timeless Truth",8431,260
22155,"Dr. Hook",365100,4780
1939,Bananarama,31619,1502
406489,"Leon Bolier",40089,1062
21965,Kaiser/Mansfield,2703,61
933783,"The Once",61515,2886
30826,"Aphrodite's Child",153253,2021
1374,Slipknot,1884298,108140
530662,Eidyllion,3559,56
192469,"He Is Legend",28444,1979
388040,Vulpecula,1229,34
255564,Hellveto,1131,17
239733,"Order of Nine",1547,24
941104,"Abysmal Chaos",533,14
11790,"Warren Zevon",99510,1387
862223,"Kittens Ablaze",3172,49
447798,"Boom Jinx",45509,1351
3641,"Merle Haggard",90101,1376
58746,"Wir sind Helden",103875,1538
1035302,"Christian McBride Trio",22595,476
1155415,山下怜美,361,7
108567,"Tom Wax",5858,167
278829,"Lorenz Attractor",3167,51
399624,Jig-Ai,12072,262
1874,"Die Toten Hosen",380333,6209
808705,"The Old Firm Casuals",19194,1617
216363,"All My Faith Lost ...",5152,82
64253,"Lena Philipsson",37613,537
140618,"Eddie ""One String"" Jones",2302,56
3811,"Daniela Mercury",102430,1439
824024,"Delaney Gibson",8090,279
754942,"Mister You",1118108,36090
1054731,ขุนอิน,33212,523
596626,LAST,1652204,205934
53086,Leeway,12835,203
165152,"Anthony Cruz",104833,1500
66,Radiohead,850664,11649
634362,"Colt Ford",454532,16358
101029,"The Five Keys",16848,324
20552,Lange,63252,1578
301613,"Ricky Dillard & New G",93429,1456
211647,Bodyrox,108645,1715
