songId,artistName
kWCe23fM7QA,"Roc Marciano"
1MMNTUtVIvw,"Meredith Call"
vhKkGg30ZzI,Brulé
vhKkGg30ZzI,Zesau
vhKkGg30ZzI,Abis
vhKkGg30ZzI,Lacrim
9ZPdWzxn6-0,"Betsie Larkin"
6a_BkCSoszY,Luciana
7tjXs3FuZXM,"Duce Banner"
LSKY7_XmNeI,"Trevor Friedrich"
0ylCuRFLwy0,"50 Cent"
SkmjlG--yIA,Eminem
SkmjlG--yIA,"Busta Rhymes"
7YB_0lYBinw,"Paris Blohm"
7YB_0lYBinw,"Sterling Fox"
-c7Hre5INys,Shotu
Kcci_U0O_m0,"Edward Burgos"
oBbpM1BdkL0,Oz
hmmv4WTw7DU,"Gretchen Dione"
Tl2m1YZGLKY,"Dr. Alimantado"
KKRJpcBcKBw,Alesia
idDMTBgpbnY,Publique
-PyBWemsDyw,Хармосини
YWC29zYcIRE,V.A.G.A.B.O.N.D.
qhxQqv975QQ,"Joan Manuel Serrat"
nmB3_AYPNmk,Mindheart
J-zBr7BVWgg,Rasco
uveMD73weX8,Floyd
uZn3OMDmv_o,"Kelly Dean"
W70zryAwfmY,"Gueule d'ange"
UYGPuZH3M4U,Christie
UYGPuZH3M4U,Teresa
NQJ9GuxLH04,"Mac Shawn"
NQJ9GuxLH04,Soopafly
yCzH-dNzDy8,"Bobby V."
vFcWWszreeM,"Celia Cruz"
jqieJNQPuYE,"Kid Millennium"
6m6Qlc6h8zg,"Omar Faruk Tekbilek"
CZAFMqW0aS0,"Barbra Streisand"
rU2pMGzd-Z8,Toquinho
l-A23S4Ih0Y,"Tom Gaskell"
pZOFCjEnXyE,"Marion Kelly"
_E3_imisKvA,"Jean Baptiste"
_E3_imisKvA,Nyah
ImTFH6H8viI,Stevio
gC1ovB417ok,"Bun B"
WYD7ov-xXzQ,"La Sonora Matancera"
yC-KOCXLYnc,"Kinderzimmer Productions"
oB0UqBMDXZ0,Alika
6E2BQc60Yyg,D.I.T.C.
rhmWKPWIgYk,"Funky Junction"
0PwANJkaxuI,"Seinabo Sey"
0PwANJkaxuI,Beldina
phMDvGaiOCg,Makoto
jhPBcvyDz5g,Eminem
VZDlULGBocc,Organismen
U8BGP5VkprM,"Bing Crosby"
AyoIPi5EfJ8,HI-D
qrHYkd1gJgE,"Todd Terry"
3yddHpOXSEk,Akwasi
-zgOUJH7uow,"Naughty Wood"
Z2ZVKhL92bc,"Charlie McGettigan"
ccw-mUI1Le8,"Billy Murray"
BNMTN3KBiF8,Solomun
_q4ZqR8erwQ,"Monica Törnell"
KMRjF05rIfs,E:Regulah
mLvyo1x2C_I,Outerspace
mLvyo1x2C_I,"Black Market"
mLvyo1x2C_I,Suspee
VDTugt_sSsM,Pauline
U5pBTKyKYp0,Scorpia
LvT72lUPaso,"Andreas Moe"
KOwpfKETNVA,"Ted Bogan"
BoGUYoaxA2g,"Quantum Soul"
BoGUYoaxA2g,Ruckspin
BoGUYoaxA2g,Planas
-TmD50m6CL4,"Craig David"
ZRZ96OtKPNE,"Han Bennink"
RlbskDCsDkg,"Sunidhi Chauhan"
V4t0kQt2SOk,"John Coleman"
COmDGLdpvog,"Cécilia Cara"
n2WJnsxsVhQ,"Bob Cooper"
beYyOe9djno,"Matt Smallwood"
1q8iGNA21V8,Jay-Z
1q8iGNA21V8,Nas
1q8iGNA21V8,Kelis
whD5Kr3cQro,"Samantha Mumba"
81Eqtngffs8,"Quang Vinh"
z00GCA0IHZw,"Pascal Obispo"
1ulGuOKDErs,Metro
6dvet75fDUU,Lawson
QDoGoV9P1oQ,"Madeleine Peyroux"
glkalqTD-_I,"Dick Rules"
8AsWgwgYsKk,Keane
Q8aGMezY4ko,"DJ Proteus"
ikQkAtNtLvw,"Carmen Consoli"
3iC7cgZIZUE,"Kembe X"
CfOABAC3WBA,"James Werts"
s0axJWDI_v8,"Rita Ora"
672C-bi_u54,GZA
672C-bi_u54,"Killah Priest"
P4tSRBJaudQ,"Jukka Rintamäki"
wKSh0UElRtE,"Alka Yagnik"
Iinff8wlup4,"Maxine Hardcastle"
gicRAwKJ1jU,VanVelzen
chf2KivGvtk,"Babel Fishh"
chf2KivGvtk,Beastmaster
NKWm340cIzE,"Klaus Badelt"
iZiuEAv4bz4,"Nu Foundation"
e8u8vFzP2mY,"Francesco De Gregori"
Jg0oRp7Dqa0,"Gordon MacRae"
zbHIkg_NTy4,Nas
zbHIkg_NTy4,"The Berklee Symphony Orchestra"
ytXh5g3CZl8,"Laurie Lewis"
HnafhgrQbko,Clarissa
t1XQLe4J7kQ,Buckshot
8w3-lsr0HNQ,Focus
LWpl300T93c,"Steve Houben"
yHGhFLi9t-8,Freeway
yHGhFLi9t-8,"Nikka Costa"
ElEWqJJwwsg,"Brother Ali"
9wwiBL03mOQ,"David Wise"
jOPUUuHMRpY,Blackstreet
HixVaBuuxAw,Jazzu
zC1ZIt-5aBY,Anoushka
H61cdk14mNw,"Jacqui Abbott"
hOzkjjU1Ymo,Teya
nxtIRArhVD4,"Iggy Azalea"
PdsQVoj3Jj4,Broken
gIJgPO9vvT8,"The Spiritual QC's"
uQWVEeveJAE,Matheo
yLgQ8gSBzjw,"Jax Jones"
HIWnIKu1v6A,"Elton John"
4YulRJZgkt4,"Sean Paul"
XaM5fz8ktZc,"Aloma Steele"
WW8YaY0ycUQ,"DJ Uto"
WFbgRmkzU08,Ab-Soul
d0FcFhSZ_dM,Wiley
d0FcFhSZ_dM,"Elen Levon"
_uw_TUZpnk8,"Denise Lopez"
8WV38JAoQR0,Kasra
VAKwHTGxVqc,"Dave Barnes"
AUq8iYxQyd8,"Doc Brown"
j2ev4uvBrLo,Slagsmålsklubben
P6VT8iC0J4A,"Purple Disco Machine"
hEb0ZWVknCI,Asa
4tkDMcPJ5mM,Nylon
MB7JYXg4e3U,"Claudio Baglioni"
dhNHICdgFC4,Mario
dhNHICdgFC4,"Gucci Mane"
CMzGaugrDuI,"Lonnie Youngblood"
WIFnilc5_Eo,Jaren
6LYlF9MFO6I,"Rednose Distrikt"
7wuhWx0g-YU,"Big MaMa King"
vgLpbkPBCTc,Q
lWfo7DAOJJE,"Subway Sect"
ps_McN6tIxY,Philip
PEHBrYlG4Qc,Maikro
7jEZEpVfoE0,"Doyle Bramhall II"
sqQZS4BoY9g,Kromestar
jAdSB8GgSQ4,"Agent Greg"
UdDj_L2wfbM,"Terri Walker"
8AnapWg01hA,Coco
_dkH9GdQaLk,"Barbara Gaskin"
4SfxYVRa1hk,"Dirty Disco Youth"
QFW_im_Z36E,Rani
wv_i3sM5vI0,"Lisa Moskow"
5LHLOKnQcLU,"Gordon MacRae"
tzpiaacofsI,L.E.D.
yE_ycjk__7A,"The Silvertones"
Oxy6nLyjSNc,"9th Wonder"
PpDWwM2tvQM,"Wade Ward"
w3LkHMIvr6o,G-HOT
02SngJWPb58,"Alice D."
5P8a3jNGBd8,K-rlos
o4fKdg6yO1k,"Patty Andrews"
eTHGpVNjAn0,"Cee Lo Green"
Gek_OYKYyNM,"Earl Hooker"
Cc5CoCFmbko,"Mark Whitfield"
Cc5CoCFmbko,"Christian McBride"
aMmlMZEqkaU,"Danny K"
kL-MCx136ew,Alpes
4Ke7utuQ2b8,Nap
1Z4LRFW0YjY,"Jah Shaka"
d560AAx8N6k,"Christian Hoff"
dP4iRw_du_Y,"Mike Shinoda"
ADNNblTQSDU,OceanLab
GzfUm6pw_As,"Sy Scott"
a1_Y7sb3myg,"Coco O"
