youtubeId,artistId,songName,youtubeName,url,releaseDate,decade,youtubeDate,crawlDate,viewCount,crawlDelta,rating,viewCountRate,duration,songLanguage,songCountry,songCountryNew
mPLHm4Nmamg,478672,Azucar,AFTERSHOCK - AZUCAR (1993),http://www.youtube.com/watch?v=mPLHm4Nmamg,1993,199,9/12/2011,3/6/2015,343,0,0,8.16667,0:04:01,English,United Kingdom,NULL
AVy8oojAiUw,295656,Kamala,Udiyana Bandha - Kamala,http://www.youtube.com/watch?v=AVy8oojAiUw,1001,100,11/7/2012,3/6/2015,2506,2,4.64286,89.5,0:05:47,Portuguese,Unknown,NULL
iBCPQ5xF-wc,239957,Forgotten Past,Far Beyond - Forgotten Past,http://www.youtube.com/watch?v=iBCPQ5xF-wc,1001,100,8/6/2009,3/6/2015,1654,1,0,24.6866,0:05:07,English,Unknown,NULL
8VujrEZCabw,301867,First to Go,Fear of Music - First To Go LIVE,http://www.youtube.com/watch?v=8VujrEZCabw,2008,200,5/13/2008,3/6/2015,2171,0,0,26.4756,0:02:30,English,Worldwide,NULL
mFoqAo4uKSI,855877,Wait/Awake,2:54 - Wait/Awake,http://www.youtube.com/watch?v=mFoqAo4uKSI,2011,201,12/8/2011,3/6/2015,19092,4,4.91453,489.538,0:04:04,English,United Kingdom,NULL
Z8j5Ovz1kqo,8557,Condemned System,Terrorizer - Condemned System,http://www.youtube.com/watch?v=Z8j5Ovz1kqo,1989,198,2/14/2008,3/6/2015,8903,0,0,104.741,0:01:26,English,United States,NULL
Tks3r5Aw0Jc,16171,The Letter,DEL SHANNON-The Letter,http://www.youtube.com/watch?v=Tks3r5Aw0Jc,1998,199,1/2/2010,3/6/2015,1544,2,0,24.9032,0:02:13,English,United States,NULL
Nv5aFnc3rs8,884511,The Block,"Stillborn ""The Block"" Black Friday 11-27-09 @ Sinix Baltimore Punk",http://www.youtube.com/watch?v=Nv5aFnc3rs8,2010,201,12/1/2009,3/6/2015,265,0,0,4.20635,0:02:23,English,United States,NULL
GTSgSLIhmLo,132289,Waterdrops,Ryan Farish - Waterdrops [Silk Remix],http://www.youtube.com/watch?v=GTSgSLIhmLo,2000,200,3/9/2011,3/6/2015,1891,0,0,39.3958,0:03:55,English,United States,NULL
DU7JbwhuBTs,124466,Ya No Vuelvas Conmigo,la sonora santanera y sonia lopez - ya no vuelvas conmigo,http://www.youtube.com/watch?v=DU7JbwhuBTs,1992,199,3/8/2009,3/6/2015,225342,295,4.49239,3129.75,0:02:44,Spanish,Mexico,NULL
p57_RasFiTM,329174,Orange Mound,DJ Squeeky - Orange Mound Veteran,http://www.youtube.com/watch?v=p57_RasFiTM,1994,199,5/5/2009,3/6/2015,25427,12,4.73333,363.243,0:04:37,English,United States,NULL
LprdMlfhZuo,136294,Ozean,Colour Haze - Ozean,http://www.youtube.com/watch?v=LprdMlfhZuo,2006,200,1/26/2009,3/6/2015,28446,10,0,384.405,0:04:32,English,Germany,NULL
n_DbwY2CBVA,1167861,Pegasus,VEILS - PEGASUS,http://www.youtube.com/watch?v=n_DbwY2CBVA,2013,201,1/30/2013,3/6/2015,16067,40,4.97653,617.962,0:04:17,English,Portugal,NULL
34njdHPbeMk,902446,Bergerak Di Garis Hasrat,PROLETAR - bergerak di garis hasrat / grind for better life,http://www.youtube.com/watch?v=34njdHPbeMk,1001,100,5/31/2010,3/6/2015,1722,0,0,29.6897,0:03:16,Multiple languages,United States,NULL
5rvI-0uMDEk,163615,Dolcissimo sospiro,"Giulio Caccini, ""Dolcissimo Sospiro"" by Maya Villanueva & Erik Skanke-Hosoien",http://www.youtube.com/watch?v=5rvI-0uMDEk,2011,201,4/5/2012,3/6/2015,1325,0,4,37.8571,0:02:25,English,Italy,NULL
iB4v8y9Ud_Q,509074,The Fire Below (The Revenge Bassline dub),Runaway - The Fire Below (The Revenge Bassline Dub),http://www.youtube.com/watch?v=iB4v8y9Ud_Q,2010,201,2/23/2012,3/6/2015,667,1,4.375,18.027,0:06:17,English,United States,NULL
JcjinCFONuw,66836,Dyn-E-Motion,Dynamo - Dyn-E-Motion,http://www.youtube.com/watch?v=JcjinCFONuw,2005,200,9/16/2011,3/6/2015,2337,1,0,55.6429,0:07:12,English,United Kingdom,NULL
dbStiwip3Ms,413229,Lorena,Lolita - Lorena,http://www.youtube.com/watch?v=dbStiwip3Ms,2006,200,9/15/2011,3/6/2015,5005,1,0,119.167,0:02:34,German,Austria,NULL
5xdWW6mbUtA,47373,In Times of War,Dying  Fetus 06 In Times Of War,http://www.youtube.com/watch?v=5xdWW6mbUtA,2000,200,8/28/2010,3/6/2015,2437,3,0,44.3091,0:03:09,English,United States,NULL
