songId,views,date,delta
mPLHm4Nmamg,339,2/8/2015,0
mPLHm4Nmamg,339,2/10/2015,0
mPLHm4Nmamg,340,2/13/2015,0
mPLHm4Nmamg,340,2/16/2015,0
mPLHm4Nmamg,341,2/21/2015,0
AVy8oojAiUw,2458,2/8/2015,0
AVy8oojAiUw,2460,2/13/2015,2
AVy8oojAiUw,2466,2/16/2015,2
AVy8oojAiUw,2480,2/21/2015,2
iBCPQ5xF-wc,1608,2/8/2015,2
iBCPQ5xF-wc,1613,2/10/2015,1
iBCPQ5xF-wc,1617,2/13/2015,2
iBCPQ5xF-wc,1623,2/16/2015,2
iBCPQ5xF-wc,1633,2/21/2015,1
8VujrEZCabw,2166,2/8/2015,0
8VujrEZCabw,2167,2/13/2015,0
8VujrEZCabw,2167,2/16/2015,0
8VujrEZCabw,2168,2/21/2015,0
mFoqAo4uKSI,18962,2/8/2015,4
mFoqAo4uKSI,18971,2/10/2015,6
mFoqAo4uKSI,18990,2/13/2015,3
mFoqAo4uKSI,19000,2/16/2015,5
mFoqAo4uKSI,19029,2/21/2015,4
Z8j5Ovz1kqo,8888,2/8/2015,0
Z8j5Ovz1kqo,8888,2/10/2015,0
Z8j5Ovz1kqo,8889,2/13/2015,1
Z8j5Ovz1kqo,8892,2/16/2015,0
Z8j5Ovz1kqo,8896,2/21/2015,0
Tks3r5Aw0Jc,1502,2/8/2015,1
Tks3r5Aw0Jc,1504,2/10/2015,0
Tks3r5Aw0Jc,1506,2/13/2015,2
Tks3r5Aw0Jc,1513,2/16/2015,0
Tks3r5Aw0Jc,1517,2/21/2015,2
Nv5aFnc3rs8,265,2/8/2015,0
Nv5aFnc3rs8,265,2/10/2015,0
Nv5aFnc3rs8,265,2/13/2015,0
Nv5aFnc3rs8,265,2/16/2015,0
Nv5aFnc3rs8,265,2/21/2015,0
GTSgSLIhmLo,1881,2/8/2015,1
GTSgSLIhmLo,1884,2/11/2015,1
GTSgSLIhmLo,1886,2/13/2015,0
GTSgSLIhmLo,1886,2/16/2015,0
GTSgSLIhmLo,1886,2/21/2015,0
DU7JbwhuBTs,218018,2/8/2015,202
DU7JbwhuBTs,218625,2/11/2015,314
DU7JbwhuBTs,219254,2/13/2015,323
DU7JbwhuBTs,220225,2/16/2015,255
DU7JbwhuBTs,221504,2/21/2015,295
p57_RasFiTM,25157,2/8/2015,10
p57_RasFiTM,25178,2/10/2015,9
p57_RasFiTM,25205,2/13/2015,10
p57_RasFiTM,25236,2/16/2015,6
p57_RasFiTM,25269,2/21/2015,12
LprdMlfhZuo,28141,2/8/2015,18
LprdMlfhZuo,28177,2/10/2015,11
LprdMlfhZuo,28211,2/13/2015,14
LprdMlfhZuo,28253,2/16/2015,11
LprdMlfhZuo,28309,2/21/2015,10
n_DbwY2CBVA,15143,2/8/2015,40
n_DbwY2CBVA,15223,2/10/2015,25
n_DbwY2CBVA,15298,2/13/2015,31
n_DbwY2CBVA,15393,2/16/2015,30
n_DbwY2CBVA,15543,2/21/2015,40
34njdHPbeMk,1713,2/8/2015,0
34njdHPbeMk,1713,2/11/2015,0
34njdHPbeMk,1713,2/13/2015,0
34njdHPbeMk,1714,2/16/2015,1
34njdHPbeMk,1720,2/21/2015,0
5rvI-0uMDEk,1288,2/8/2015,2
5rvI-0uMDEk,1295,2/11/2015,3
5rvI-0uMDEk,1301,2/13/2015,3
5rvI-0uMDEk,1310,2/16/2015,1
5rvI-0uMDEk,1318,2/21/2015,0
iB4v8y9Ud_Q,646,2/8/2015,0
iB4v8y9Ud_Q,646,2/10/2015,0
iB4v8y9Ud_Q,647,2/13/2015,0
iB4v8y9Ud_Q,648,2/16/2015,1
iB4v8y9Ud_Q,653,2/21/2015,1
JcjinCFONuw,2303,2/8/2015,3
JcjinCFONuw,2309,2/10/2015,2
JcjinCFONuw,2316,2/13/2015,0
JcjinCFONuw,2318,2/16/2015,0
JcjinCFONuw,2322,2/21/2015,1
